driverId,raceId,finalPosition,gridPosition,points,qual1,qual2,qual3
842,1098,9,20,2.0,00:01:32.1810000,NULL,NULL
842,1099,9,9,2.0,00:01:29.8900000,00:01:29.4110000,00:01:29.3570000
842,1100,13,9,0.0,00:01:18.3120000,00:01:17.5740000,00:01:17.6750000
842,1101,14,17,0.0,00:01:44.8530000,NULL,NULL
842,1104,7,7,6.0,00:01:13.0330000,00:01:12.1690000,00:01:11.9330000
842,1105,10,10,1.0,00:01:13.4710000,00:01:13.1860000,00:01:12.8160000
842,1106,12,15,0.0,00:01:22.8860000,NULL,NULL
842,1107,10,9,1.0,00:01:05.5150000,00:01:05.3080000,00:01:05.1700000
842,1108,18,10,0.0,00:01:29.5330000,00:01:28.7510000,00:01:27.6890000
842,1109,-1,15,0.0,00:01:18.7430000,00:01:18.2170000,NULL
842,1110,11,12,0.0,00:01:59.5110000,00:01:53.6710000,NULL
842,1111,3,12,15.0,00:01:21.7350000,00:01:20.1280000,NULL
842,1112,15,17,0.0,00:01:22.5450000,NULL,NULL
842,1113,6,12,8.0,00:01:32.4520000,00:01:32.2740000,NULL
842,1114,10,12,1.0,00:01:30.8430000,00:01:30.5090000,NULL
842,1115,12,7,0.0,00:01:25.5660000,00:01:24.9180000,00:01:24.5530000
842,1117,11,11,0.0,00:01:18.9450000,00:01:18.5210000,NULL
842,1118,7,15,6.0,00:01:10.7930000,00:01:10.5670000,NULL
842,1119,11,4,0.0,00:01:34.2720000,00:01:33.4940000,00:01:33.2390000
842,1120,13,10,0.0,00:01:24.6000000,00:01:24.0780000,00:01:24.5480000
842,1121,18,20,0.0,00:01:30.9480000,NULL,NULL
842,1122,-1,18,0.0,00:01:29.4790000,NULL,NULL
842,1123,13,17,0.0,00:01:17.9820000,NULL,NULL
842,1124,16,17,0.0,00:01:30.1190000,NULL,NULL
842,1125,13,15,0.0,00:01:35.2870000,00:01:35.4630000,NULL
842,1127,16,15,0.0,00:01:16.0150000,00:01:16.3810000,NULL
842,1128,10,10,1.0,00:01:11.7140000,00:01:10.8960000,00:01:11.3110000
842,1129,9,15,2.0,00:01:13.2890000,00:01:12.9400000,NULL
842,1130,9,7,2.0,00:01:12.6510000,00:01:12.0790000,00:01:11.8570000
842,1131,10,13,1.0,00:01:05.5980000,00:01:05.3590000,NULL
842,1132,-1,19,0.0,00:01:39.8040000,NULL,NULL
842,1133,-1,0,0.0,00:01:18.1660000,NULL,NULL
842,1134,13,12,0.0,00:01:54.9110000,00:01:54.6350000,NULL
842,1135,9,9,2.0,00:01:11.7180000,00:01:10.8150000,00:01:10.9770000
842,1136,15,14,0.0,00:01:20.7480000,00:01:20.7380000,NULL
842,1137,12,18,0.0,00:01:43.0880000,00:01:43.1790000,NULL
842,1138,17,18,0.0,00:01:31.3120000,NULL,NULL
842,1140,10,8,1.0,00:01:17.1490000,00:01:17.0480000,00:01:16.8920000
842,1141,3,13,15.0,00:01:29.4200000,00:01:29.6140000,NULL
842,1142,-1,3,0.0,00:01:33.6910000,00:01:32.8790000,00:01:32.6640000
842,1143,5,11,10.0,00:01:21.8430000,00:01:21.4370000,NULL
842,1144,7,5,6.0,00:01:23.5480000,00:01:23.0860000,00:01:22.9840000
843,986,-1,17,0.0,00:01:18.6830000,NULL,NULL
843,987,-1,18,0.0,00:01:10.6250000,NULL,NULL
843,988,15,20,0.0,00:01:40.4710000,NULL,NULL
843,989,15,16,0.0,00:01:24.5320000,NULL,NULL
843,990,17,11,0.0,00:01:30.4120000,00:01:30.1050000,NULL
843,991,20,15,0.0,00:01:34.0130000,00:01:33.7950000,NULL
843,992,10,19,1.0,00:01:57.3540000,NULL,NULL
843,993,12,20,0.0,NULL,NULL,NULL
843,994,-1,15,0.0,00:01:13.1790000,NULL,NULL
843,995,-1,12,0.0,00:01:12.5870000,00:01:12.6350000,NULL
843,996,14,20,0.0,00:01:33.0250000,NULL,NULL
843,997,-1,19,0.0,00:01:05.3660000,NULL,NULL
843,998,-1,0,0.0,NULL,NULL,NULL
843,999,10,17,1.0,00:01:14.0450000,NULL,NULL
843,1000,11,8,0.0,00:01:18.4290000,00:01:32.5900000,00:01:38.1280000
843,1001,14,11,0.0,00:01:44.1530000,00:01:43.8650000,NULL
843,1002,-1,16,0.0,00:01:21.9340000,NULL,NULL
843,1003,17,17,0.0,00:01:39.8090000,NULL,NULL
843,1004,-1,20,0.0,00:01:35.0370000,NULL,NULL
843,1005,13,6,0.0,00:01:30.2480000,00:01:29.8480000,00:01:30.0230000
843,1007,14,14,0.0,00:01:16.6820000,00:01:17.1840000,NULL
843,1008,11,16,0.0,00:01:09.2800000,NULL,NULL
843,1009,12,16,0.0,00:01:37.9940000,NULL,NULL
844,989,13,18,0.0,00:01:24.6360000,NULL,NULL
844,990,12,19,0.0,00:01:31.4200000,NULL,NULL
844,991,19,19,0.0,00:01:34.4540000,NULL,NULL
844,992,6,13,8.0,00:01:43.7520000,00:01:44.0740000,NULL
844,993,10,14,1.0,00:01:18.6610000,00:01:18.9100000,NULL
844,994,-1,14,0.0,00:01:12.8290000,00:01:12.7140000,NULL
844,995,10,13,1.0,00:01:12.9450000,00:01:12.6610000,NULL
844,996,10,8,1.0,00:01:32.5380000,00:01:32.0550000,00:01:32.6350000
844,997,9,18,2.0,00:01:04.9670000,00:01:04.9790000,NULL
844,998,-1,9,0.0,00:01:27.9620000,00:01:27.7900000,00:01:27.8790000
844,999,15,9,0.0,00:01:13.0770000,00:01:12.9950000,00:01:12.7170000
844,1000,-1,17,0.0,00:01:18.8170000,NULL,NULL
844,1001,-1,12,0.0,00:01:43.6540000,00:01:44.0620000,NULL
844,1002,11,15,0.0,00:01:21.8890000,NULL,NULL
844,1003,9,13,2.0,00:01:39.2060000,00:01:38.7470000,NULL
844,1004,7,7,6.0,00:01:33.9240000,00:01:33.4880000,00:01:33.4190000
844,1005,-1,10,0.0,00:01:29.7060000,00:01:29.8640000,NULL
844,1007,7,9,6.0,00:01:16.8620000,00:01:16.3200000,00:01:16.1890000
844,1008,7,7,6.0,00:01:08.6670000,00:01:08.3350000,00:01:08.4920000
844,1009,7,8,6.0,00:01:37.1240000,00:01:36.5800000,00:01:36.2370000
844,1010,5,5,10.0,00:01:22.0170000,00:01:21.7390000,00:01:21.4420000
844,1011,3,1,16.0,00:01:28.4950000,00:01:28.0460000,00:01:27.8660000
844,1012,5,4,10.0,00:01:32.7120000,00:01:32.3240000,00:01:31.8650000
844,1013,5,8,11.0,00:01:41.4260000,00:01:41.9950000,NULL
844,1014,5,5,10.0,00:01:17.3880000,00:01:16.7140000,00:01:16.5880000
844,1015,-1,15,0.0,00:01:12.1490000,NULL,NULL
844,1016,3,3,15.0,00:01:11.2140000,00:01:11.2050000,00:01:10.9200000
844,1017,3,3,15.0,00:01:30.6470000,00:01:29.6990000,00:01:28.9650000
844,1018,2,1,18.0,00:01:04.1380000,00:01:03.3780000,00:01:03.0030000
844,1019,3,3,15.0,00:01:25.5330000,00:01:25.5460000,00:01:25.1720000
844,1020,-1,10,0.0,00:01:12.2290000,00:01:12.3440000,NULL
844,1021,4,4,12.0,00:01:16.3370000,00:01:15.7920000,00:01:15.0430000
844,1022,1,1,25.0,00:01:43.5870000,00:01:42.9380000,00:01:42.5190000
844,1023,1,1,25.0,00:01:20.1260000,00:01:19.5530000,00:01:19.3070000
844,1024,2,1,18.0,00:01:38.0140000,00:01:36.6500000,00:01:36.2170000
844,1025,3,1,15.0,00:01:33.6130000,00:01:32.4340000,00:01:31.6280000
844,1026,6,2,8.0,00:01:28.4050000,00:01:28.1790000,00:01:27.2530000
844,1027,4,1,13.0,00:01:16.3640000,00:01:16.2190000,00:01:15.0240000
844,1029,18,14,0.0,00:01:08.4960000,00:01:07.8880000,00:01:07.7280000
844,1030,3,3,15.0,00:01:36.4780000,00:01:35.5430000,00:01:35.2190000
844,1031,2,7,18.0,00:01:04.5000000,00:01:04.0410000,00:01:03.9230000
844,1032,-1,14,0.0,00:01:20.8710000,00:01:19.6280000,NULL
844,1033,11,6,0.0,00:01:15.7930000,00:01:15.0060000,00:01:14.8170000
844,1034,3,4,15.0,00:01:26.5500000,00:01:26.2030000,00:01:25.4270000
844,1035,4,8,12.0,00:01:27.4270000,00:01:26.7090000,00:01:26.6140000
844,1036,-1,9,0.0,00:01:17.2560000,00:01:16.9530000,00:01:17.0870000
844,1037,14,13,0.0,00:01:43.6560000,00:01:42.9960000,NULL
844,1038,-1,13,0.0,00:01:20.4430000,00:01:20.2730000,NULL
844,1039,8,5,4.0,00:01:16.6980000,00:01:16.3240000,00:01:16.2700000
844,1040,6,10,8.0,00:01:34.0710000,00:01:33.2390000,NULL
844,1041,7,4,6.0,00:01:26.8570000,00:01:26.2400000,00:01:26.0350000
844,1042,4,4,12.0,00:01:17.4210000,00:01:17.3670000,00:01:17.0900000
844,1043,5,7,10.0,00:01:15.1230000,00:01:15.0170000,00:01:14.6160000
844,1044,4,12,12.0,00:02:04.4640000,00:01:56.6960000,NULL
844,1045,10,12,1.0,00:01:29.1370000,00:01:29.1650000,NULL
844,1046,-1,4,0.0,00:00:54.2490000,00:00:53.8250000,00:00:53.6130000
844,1047,13,12,0.0,00:01:35.8810000,00:01:35.9320000,00:01:36.0650000
844,1051,8,13,4.0,00:01:22.7420000,00:01:22.4630000,NULL
844,1052,6,4,8.0,00:01:30.6910000,00:01:30.0100000,00:01:29.6780000
844,1053,4,4,12.0,00:01:15.4130000,00:01:14.8080000,00:01:14.7400000
844,1054,6,8,8.0,00:01:19.3730000,00:01:18.7690000,00:01:19.3060000
844,1055,4,4,12.0,00:01:18.0410000,00:01:17.7170000,00:01:17.5100000
